# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.library.by.name.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786635672592000000,1786635693789000000,0
workspaceModel.load.cache.from.file.ms,1786635672592000000,1786635693789000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786635672592000000,1786635693789000000,0
Indexes.stubs.lookupDurationMaxMs,1786635672592000000,1786635693789000000,0.0
Indexing.totalTimeIndexersSleptMs,1786635672592000000,1786635693789000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1786635672592000000,1786635693789000000,0
Indexes.stubs.lookupDurationAvgMs,1786635672592000000,1786635693789000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1786635672592000000,1786635693789000000,0
Indexes.entries.lookupDurationAvgMs,1786635672592000000,1786635693789000000,3.0
Indexing.writesQueuedAvg,1786635672592000000,1786635693789000000,0.0
Indexing.cache.totalCacheMisses,1786635672592000000,1786635693789000000,0
Indexes.allKeys.lookupDurationMaxMs,1786635672592000000,1786635693789000000,0.0
Indexing.cache.totalCacheAccesses,1786635672592000000,1786635693789000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1786635672592000000,1786635693789000000,0
Indexing.writesQueuedMax,1786635672592000000,1786635693789000000,0
Indexes.stubs.lookups,1786635672592000000,1786635693789000000,0
Indexes.entries.lookupDuration90PMs,1786635672592000000,1786635693789000000,3.0
Indexes.allKeys.lookupDurationAvgMs,1786635672592000000,1786635693789000000,0.0
Indexes.allKeys.lookups,1786635672592000000,1786635693789000000,0
Indexing.cache.totalCacheEvicted,1786635672592000000,1786635693789000000,0
Indexes.entries.lookupDurationMaxMs,1786635672592000000,1786635693789000000,3.0
Indexes.entries.lookups,1786635672592000000,1786635693789000000,1
Indexing.writer_0.totalTimeSpentWritingMs,1786635672592000000,1786635693789000000,0
Indexing.writesQueuedMin,1786635672592000000,1786635693789000000,0
Indexes.allKeys.lookupDuration90PMs,1786635672592000000,1786635693789000000,0.0
Indexes.stubs.lookupDuration90PMs,1786635672592000000,1786635693789000000,0.0
